Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,6937.66,7006.91,6924.08,7006.9,1780884900
2018-01-03,7017.07,7069.15,7016.7,7065.53,2015105400
2018-01-04,7089.5,7098.05,7072.38,7077.92,1951967700
2018-01-05,7105.74,7137.04,7097.08,7136.56,1879437000
2018-01-08,7135.38,7161.35,7124.09,7157.39,1907829900
2018-01-09,7174.19,7181.14,7148.3,7163.58,1959789000
2018-01-10,7129.83,7154.24,7111.52,7153.57,1974148200
2018-01-11,7168.73,7211.78,7163.23,7211.78,1869058200
2018-01-12,7208.17,7265.26,7205.18,7261.06,1837866000
2018-01-16,7307.19,7330.33,7205.93,7223.69,2210740200
2018-01-17,7257.77,7309.36,7229.32,7298.28,2081405100
2018-01-18,7293.65,7313.9,7276.11,7296.05,1884384600
2018-01-19,7312,7336.38,7297.29,7336.38,1857461100
2018-01-22,7338.04,7408.03,7332.81,7408.03,1958645100
2018-01-23,7424.95,7465.4,7423.18,7460.29,1971451200
2018-01-24,7474.16,7486.32,7376.75,7415.06,2117619300
2018-01-25,7457.95,7458.54,7388.58,7411.16,1917148500
2018-01-26,7448.33,7505.77,7431.22,7505.77,1914879300
2018-01-29,7484.47,7500.61,7455.55,7466.51,1956143400
2018-01-30,7388.89,7433.65,7373.99,7402.48,2012501400
2018-01-31,7443.25,7453.98,7381.13,7411.48,2239012200
2018-02-01,7377.17,7441.09,7362.28,7385.86,2131262400
2018-02-02,7347.59,7364.43,7238.18,7240.95,2406626100
2018-02-05,7165.96,7277.36,6967.53,6967.53,2889389100
2018-02-06,6837.56,7126.55,6824.82,7115.88,2911857900
2018-02-07,7086.2,7170.34,7051.53,7051.98,2201282100
2018-02-08,7067.3,7073.99,6776.77,6777.16,2518161000
2018-02-09,6863.34,6917.01,6630.67,6874.49,2935070700
2018-02-12,6936.68,7023.62,6879.69,6981.96,2083590600
2018-02-13,6942.16,7025.68,6938.16,7013.51,1689503100
2018-02-14,6979.24,7152.05,6977.07,7143.62,2056657800
2018-02-15,7200.75,7256.93,7130.39,7256.43,1962951000
2018-02-16,7236.52,7303.26,7226.38,7239.47,1878441900
2018-02-20,7209.04,7295.95,7206,7234.31,1777388100
2018-02-21,7258.48,7338.64,7218.11,7218.23,1809789300
2018-02-22,7252.47,7280.93,7194.84,7210.09,1778067000
2018-02-23,7261.35,7337.83,7232.5,7337.39,1747897800
2018-02-26,7373.3,7421.85,7360.25,7421.46,1735947300
2018-02-27,7416.17,7438.09,7330.36,7330.35,2004940500
2018-02-28,7371.41,7386.8,7273.01,7273.01,2207708400
2018-03-01,7274.75,7307.84,7117.66,7180.56,2314807200
2018-03-02,7099.54,7267.19,7084.83,7257.87,2127207600
2018-03-05,7222.89,7350.07,7205.31,7330.71,1921705500
2018-03-06,7366.61,7378.03,7319.68,7372.01,1964690100
2018-03-07,7311.73,7403.79,7311.73,7396.65,2038773900
2018-03-08,7422.77,7435.01,7391.5,7427.95,2113062300
2018-03-09,7475.98,7560.81,7469.04,7560.81,2141724900
2018-03-12,7581.04,7609.1,7563.45,7588.33,2133829200
2018-03-13,7627.52,7637.27,7492.98,7511.01,2277411900
2018-03-14,7539.78,7544.89,7473.9,7496.81,1957138500
2018-03-15,7509.24,7525.44,7463.18,7481.74,1852160100
